filename x y z t0 t1 t2 t3 t4 t5 t6 t7 t8 t9
reciever46.sac 470 0 50 1.61867e-06 2.81213e-06 2.9092e-06 3.20552e-06 3.69091e-06 4.36917e-06 5.10504e-06 -12345 -12345 -12345
reciever47.sac 480 0 50 1.64863e-06 2.9042e-06 2.96583e-06 3.26013e-06 3.73336e-06 4.40519e-06 5.13767e-06 -12345 -12345 -12345
reciever48.sac 490 0 50 1.68533e-06 2.95821e-06 3.02348e-06 3.30868e-06 3.76136e-06 4.44235e-06 5.17138e-06 -12345 -12345 -12345
reciever49.sac 500 0 50 1.71896e-06 3.01337e-06 3.08214e-06 3.36835e-06 3.80472e-06 4.475e-06 5.21054e-06 -12345 -12345 -12345
reciever4.sac 50 0 50 1.92861e-07 3.05272e-07 7.42961e-07 1.56982e-06 2.44923e-06 3.35026e-06 -12345 -12345 -12345 -12345
reciever50.sac 510 0 50 1.75076e-06 3.07809e-06 3.14383e-06 3.42397e-06 3.8562e-06 4.50877e-06 5.24317e-06 -12345 -12345 -12345
reciever51.sac 520 0 50 1.78464e-06 3.12964e-06 3.20174e-06 3.48353e-06 3.91169e-06 4.54954e-06 -12345 -12345 -12345 -12345
reciever52.sac 530 0 50 1.82169e-06 3.18788e-06 3.2683e-06 3.538e-06 3.96161e-06 4.57727e-06 -12345 -12345 -12345 -12345
reciever53.sac 540 0 50 1.85018e-06 3.25166e-06 3.32376e-06 3.59309e-06 4.01153e-06 4.61609e-06 -12345 -12345 -12345 -12345
reciever54.sac 550 0 50 1.88438e-06 3.29881e-06 3.38478e-06 3.64756e-06 4.06145e-06 4.6466e-06 -12345 -12345 -12345 -12345
reciever55.sac 560 0 50 1.91715e-06 3.34872e-06 3.44301e-06 3.70142e-06 4.11136e-06 4.69097e-06 -12345 -12345 -12345 -12345
reciever56.sac 570 0 50 1.95419e-06 3.43469e-06 3.50403e-06 3.76202e-06 4.16683e-06 4.73257e-06 -12345 -12345 -12345 -12345
reciever5.sac 60 0 50 2.25103e-07 3.55814e-07 7.64332e-07 1.58015e-06 2.45716e-06 3.35606e-06 -12345 -12345 -12345 -12345
reciever6.sac 70 0 50 2.57383e-07 4.13759e-07 7.90379e-07 1.59209e-06 2.46559e-06 3.35740e-06 -12345 -12345 -12345 -12345
reciever7.sac 80 0 50 2.94345e-07 4.72519e-07 8.19098e-07 1.60839e-06 2.47685e-06 3.36427e-06 -12345 -12345 -12345 -12345
reciever8.sac 90 0 50 3.28463e-07 5.25592e-07 8.43809e-07 1.62698e-06 2.49081e-06 3.37389e-06 -12345 -12345 -12345 -12345
reciever9.sac 100 0 50 3.59738e-07 5.93829e-07 8.72527e-07 1.64514e-06 2.50027e-06 3.38076e-06 -12345 -12345 -12345 -12345
