filename x y z t0 t1 t2 t3 t4 t5 t6 t7 t8 t9
reciever46.sac 470 0 50 1.61318e-06 2.82031e-06 2.90256e-06 3.16348e-06 3.6922e-06 4.30968e-06 5.10541e-06 -12345 -12345 -12345
reciever47.sac 480 0 50 1.63792e-06 2.90614e-06 2.96419e-06 3.22306e-06 3.74132e-06 4.34925e-06 5.14286e-06 -12345 -12345 -12345
reciever48.sac 490 0 50 1.67707e-06 2.96336e-06 3.01761e-06 3.27853e-06 3.78134e-06 4.38068e-06 5.1768e-06 -12345 -12345 -12345
reciever49.sac 500 0 50 1.69871e-06 3.02718e-06 3.07719e-06 3.32989e-06 3.83137e-06 4.4156e-06 5.21249e-06 -12345 -12345 -12345
reciever4.sac 50 0 50 1.95729e-07 2.96552e-07 7.43457e-07 1.57365e-06 2.45579e-06 3.34731e-06 -12345 -12345 -12345 -12345
reciever50.sac 510 0 50 1.75951e-06 3.0822e-06 3.14293e-06 3.38742e-06 3.88594e-06 4.45983e-06 5.2476e-06 -12345 -12345 -12345
reciever51.sac 520 0 50 1.79042e-06 3.14602e-06 3.20046e-06 3.447e-06 3.93961e-06 4.54265e-06 5.29442e-06 -12345 -12345 -12345
reciever52.sac 530 0 50 1.80011e-06 3.18416e-06 3.26173e-06 3.50305e-06 3.98053e-06 4.57257e-06 5.33852e-06 -12345 -12345 -12345
reciever53.sac 540 0 50 1.84163e-06 3.2376e-06 3.32551e-06 3.55304e-06 4.04258e-06 4.61372e-06 5.3781e-06 -12345 -12345 -12345
reciever54.sac 550 0 50 1.88229e-06 3.29103e-06 3.37894e-06 3.60648e-06 4.09602e-06 4.65299e-06 5.4169e-06 -12345 -12345 -12345
reciever55.sac 560 0 50 1.91603e-06 3.35309e-06 3.43583e-06 3.66853e-06 4.13566e-06 4.65486e-06 5.45647e-06 -12345 -12345 -12345
reciever56.sac 570 0 50 1.95063e-06 3.41342e-06 3.50478e-06 3.73058e-06 4.19255e-06 4.7334e-06 5.4976e-06 -12345 -12345 -12345
reciever5.sac 60 0 50 2.28824e-07 3.52735e-07 7.64002e-07 1.58337e-06 2.45996e-06 3.35156e-06 -12345 -12345 -12345 -12345
reciever6.sac 70 0 50 2.60379e-07 4.0661e-07 7.89953e-07 1.59487e-06 2.46831e-06 3.35723e-06 -12345 -12345 -12345 -12345
reciever7.sac 80 0 50 2.97322e-07 4.87422e-07 8.16986e-07 1.61078e-06 2.47874e-06 3.36291e-06 -12345 -12345 -12345 -12345
reciever8.sac 90 0 50 3.28107e-07 5.25904e-07 8.44018e-07 1.63023e-06 2.4923e-06 3.37567e-06 -12345 -12345 -12345 -12345
reciever9.sac 100 0 50 3.61971e-07 5.9671e-07 8.75376e-07 1.64703e-06 2.50378e-06 3.3856e-06 -12345 -12345 -12345 -12345
